cinema,date,time,title
Kolnoa Kanada,10/08/2024,21:30,Akira
Kolnoa Kanada,14/08/2024,19:45,Top Secret!
Kolnoa Kanada,15/08/2024,19:00,Apocalypse Now
Kolnoa Kanada,15/08/2024,22:30,Hearts of Darkness: A Filmmaker's Apocalypse
Kolnoa Kanada,16/08/2024,21:45,Total Recall
Kolnoa Kanada,17/08/2024,19:00,Boda Boda Killer
Kolnoa Kanada,18/08/2024,19:15,Hiroshima mon amour
Kolnoa Kanada,18/08/2024,21:30,Eternal Sunshine of the Spotless Mind
Kolnoa Kanada,28/08/2024,20:00,Eraserhead
Kolnoa Kanada,29/08/2024,19:00,Wild at Heart
Kolnoa Kanada,12/09/2024,20:00,Apocalypse Now
Kolnoa Kanada,19/09/2024,20:00,Hearts of Darkness: A Filmmaker's Apocalypse